subj cond chan win        value        gmin        tgmin   gmax        tgmax  
co03 101  FC5  +600..+748  3.5493e+00  1.1942e+00   0.708  6.0693e+00   0.612
co03 101  FCZ  +600..+748 -4.2838e+00 -9.1917e+00   0.716  1.2624e+00   0.620
co03 101  FC6  +600..+748 -5.4427e+00 -8.4851e+00   0.724 -1.0614e+00   0.612
co03 101  C3   +600..+748 -8.8559e+00 -1.2727e+01   0.712 -4.4343e+00   0.620
co03 101  CZ   +600..+748 -1.2225e+00 -5.7028e+00   0.704  2.7673e+00   0.624
co03 101  C4   +600..+748 -9.0790e+00 -1.2494e+01   0.692 -5.8418e+00   0.620
co03 101  CP5  +600..+748 -4.6826e+00 -7.9844e+00   0.704 -1.6490e+00   0.648
co03 101  CPZ  +600..+748 -1.0405e+01 -1.4820e+01   0.704 -6.6512e+00   0.620
co03 101  CP6  +600..+748 -7.8627e+00 -1.0445e+01   0.704 -5.4077e+00   0.612
co03 101  P7   +600..+748 -6.2839e+00 -9.0453e+00   0.704 -3.2369e+00   0.636
co03 101  P3   +600..+748 -4.7560e+00 -9.0815e+00   0.704 -1.5527e+00   0.636
co03 101  PZ   +600..+748 -5.3491e+00 -9.5841e+00   0.704 -2.6348e+00   0.624
co03 101  P4   +600..+748 -7.2483e+00 -1.0774e+01   0.704 -4.1414e+00   0.656
co03 101  P8   +600..+748 -5.8728e+00 -8.3245e+00   0.704 -2.7982e+00   0.660
co03 101  PO3  +600..+748 -7.3312e+00 -1.2095e+01   0.704 -4.3405e+00   0.656
co03 101  POZ  +600..+748 -7.3764e+00 -1.2474e+01   0.704 -4.1661e+00   0.656
co03 101  PO4  +600..+748 -7.4324e+00 -1.1736e+01   0.704 -4.3275e+00   0.656
co03 101  OZ   +600..+748 -4.7133e+00 -9.7637e+00   0.704 -1.2710e+00   0.656
co03 102  F7   +600..+748 -1.0233e-01 -4.4206e+00   0.604  2.8369e+00   0.696
co03 102  F3   +600..+748  1.1902e+00 -3.8914e+00   0.608  5.0254e+00   0.696
co03 102  FZ   +600..+748  2.9618e-01 -4.0284e+00   0.608  4.5070e+00   0.696
co03 102  F4   +600..+748 -4.3287e-01 -3.7760e+00   0.612  4.1633e+00   0.684
co03 102  F8   +600..+748 -7.7041e-01 -3.1438e+00   0.660  2.1538e+00   0.684
co03 102  FC5  +600..+748 -1.7432e-01 -4.5826e+00   0.608  3.4188e+00   0.700
